stop_id,stop_code,stop_name,stop_lat,stop_lon,num_unique_routes,service_id
7690,1756,Broadview Ave at Dundas St East,43.6626,-79.3515,4,1
7708,4423,Lawrence Ave East at Morningside Ave,43.7682,-79.1865,4,1
7723,1919,Don Mills Rd at Deerford Rd,43.7853,-79.3506,4,1
7724,9503,Lawrence Ave East at Markham Rd,43.7596,-79.2256,4,1
7797,1168,Jane St at Ardagh St,43.6557,-79.487,4,1
7857,9415,Victoria Park Ave at Meadow Ave,43.6818,-79.2845,4,1
7874,1043,Ellesmere Rd at Dolly Varden Blvd West Side,43.7758,-79.2353,4,1
7887,3853,Islington Ave at The Westway South Side,43.6882,-79.5429,4,1
7898,2150,Dundas St West at Bloor St West,43.6561,-79.4523,4,1
7912,7141,Sheppard Ave East at Allanford Rd East Side,43.7821,-79.2929,4,1
7921,4696,Victoria Park Ave at Swanwick Ave,43.6853,-79.286,4,1
7931,6645,Parliament St at Richmond St East,43.6544,-79.3639,4,1
7941,1040,Eglinton Ave East at Torrance Rd West Side,43.7396,-79.2358,4,1
7984,5182,Lake Shore Blvd West at Colonel Samuel Smith Park Dr,43.598,-79.5172,4,1
8020,8358,35 Thorncliffe Park Dr,43.7019,-79.3444,4,1
8032,7217,Sheppard Ave East at Midland Ave,43.7851,-79.279,4,1
811,1559,St Clair Ave East at Elfreda Blvd,43.7137,-79.2731,4,1
8136,2260,Eglinton Ave East at Danforth Rd,43.7373,-79.2458,4,1
8151,7245,Sheppard Ave East at Settlers Rd,43.7748,-79.3264,4,1
8160,9414,Victoria Park Ave at Woodale Ave,43.6834,-79.2852,4,1
8171,7197,Sheppard Ave East at Kennedy Rd,43.7834,-79.2881,4,1
8223,9318,Broadview Ave at Mountstephen St,43.6641,-79.3521,4,1
8258,2374,Eglinton Ave West at Lascelles Blvd East Side,43.7056,-79.4032,4,1
8275,5284,Lawrence Ave East at Manse Rd East Side,43.7706,-79.1758,4,1
8291,2932,345 Morningside Ave,43.7755,-79.1888,4,1
8338,4145,King St East at Sherbourne St,43.6512,-79.3684,4,1
8353,11716,Eglinton Ave West at Walkway to Emmett Ave,43.6846,-79.5081,4,1
8362,1661,Wilson Ave at King High Ave,43.7357,-79.4425,4,1
8405,3888,Jane St at Exbury Rd North Side,43.7296,-79.5106,4,1
841,12088,Steeles Ave West at Jane St,43.7752,-79.5221,4,1
8415,6987,Royal York Rd at Dalesford Rd,43.6244,-79.5016,4,1
8421,1922,Don Mills Rd at The Donway East (South) North Side,43.7326,-79.342,4,1
8422,1375,Neilson Rd at Crow Trail,43.8124,-79.2259,4,1
8489,7196,Sheppard Ave East at Kennedy Rd,43.783,-79.2887,4,1
8516,4235,Kingston Rd at Manderley Dr,43.6887,-79.2694,4,1
8547,1658,Wilson Ave at Faywood Blvd East Side,43.7348,-79.4458,4,1
8560,4163,King St West at Shaw St,43.6415,-79.4148,4,1
8578,1171,Jane St at Colbeck St,43.6533,-79.4862,4,1
8611,2562,5600 Finch Ave East,43.8137,-79.2401,4,1
8645,6225,Albion Rd at Golfdown Dr West Side,43.7238,-79.5488,4,1
8660,1660,Wilson Ave at King High Ave,43.7354,-79.4429,4,1
8685,6647,Parliament St at Shuter St,43.657,-79.3651,4,1
8744,12193,The Pond Rd at Ian MacDonald Blvd West Side,43.7706,-79.4998,4,1
8764,5173,Lake Shore Blvd West at Burlington St,43.6171,-79.4873,4,1
8815,3258,York Mills Rd at Fenn Ave,43.7471,-79.3889,4,1
8820,2115,Dundas St East at Broadview Ave,43.6623,-79.3518,4,1
8843,5294,Lawrence Ave East at Midland Ave East Side,43.7516,-79.2642,4,1
8858,5190,Lake Shore Blvd West at Louisa St,43.619,-79.4864,4,1
8868,14335,St Clair Ave West at Vaughan Rd East Side,43.6829,-79.4193,4,1
8869,14336,St Clair Ave West at Bathurst St East Side,43.6832,-79.4177,4,1
8870,14337,St Clair Ave West at Bathurst St West Side,43.6831,-79.4189,4,1
8879,9075,York Mills Rd at Laurentide Dr,43.7576,-79.3381,4,1
8904,8345,44 Thorncliffe Park Dr,43.7024,-79.3427,4,1
8910,7888,Keele St at Glenlake Ave,43.6581,-79.4613,4,1
8942,9053,Yonge St at St Clair Ave West - St Clair Station,43.6883,-79.3943,4,1
8959,7255,Sheppard Ave East at Warden Ave,43.7789,-79.3076,4,1
8980,1800,Coxwell Ave at Gerrard St East,43.6751,-79.3201,4,1
8991,1108,Gerrard St East at St Matthews Rd,43.665,-79.3549,4,1
9016,2173,Dundas St West at McCaul St,43.6542,-79.3916,4,1
9129,5279,Lawrence Ave East at Kennedy Rd East Side,43.7495,-79.2743,4,1
9141,3964,Keele St at Calvington Dr South Side,43.7331,-79.4837,4,1
9148,5193,Lake Shore Blvd West at Mimico Ave,43.6139,-79.4894,4,1
917,9083,York Mills Rd at Sandover Dr (1222 York Mills),43.7598,-79.3317,4,1
918,9907,York Mills Rd at Yonge St East Side,43.7442,-79.4058,4,1
9191,8349,11 Thorncliffe Park Dr,43.7043,-79.3487,4,1
9202,9498,75 Thorncliffe Park Dr,43.7049,-79.3419,4,1
9211,5265,Lawrence Ave East at Fortune Gate,43.7612,-79.2197,4,1
9291,6371,Ellesmere Rd at Victoria Park Ave East Side,43.7579,-79.3146,4,1
9317,5158,Lake Shore Blvd West at Twenty Sixth St,43.5967,-79.5243,4,1
934,2407,Eglinton Ave West at Scarlett Rd,43.6841,-79.5112,4,1
9357,8526,Walsh Ave at Wilson Ave,43.7156,-79.5325,4,1
9374,3252,York Mills Rd at Birchwood Ave,43.7463,-79.3921,4,1
9386,2342,Eglinton Ave West at Duplex Ave,43.7062,-79.4007,4,1
9396,5289,Lawrence Ave East at McCowan Rd West Side Scarborough General Hospital,43.7554,-79.2467,4,1
9404,8352,Thorncliffe Park Dr (East) at Overlea Blvd,43.7069,-79.3432,4,1
9423,5199,2111 Lake Shore Blvd West,43.6291,-79.4781,4,1
9450,7890,Keele St at Hillsview Ave,43.6604,-79.4625,4,1
9453,5195,Lake Shore Blvd West at Park Lawn Rd,43.6228,-79.4813,4,1
9456,4232,Kingston Rd at Kildonan Dr,43.69,-79.2673,4,1
9496,2936,350 Morningside Ave - West Hill Collegiate,43.7761,-79.1894,4,1
9502,12130,West Service Rd at St Albans Rd,43.6393,-79.5349,4,1
9530,14256,Steeles Ave East at Redlea Ave,43.8239,-79.3053,4,1
954,4190,King St West at Tecumseth St,43.6435,-79.4051,4,1
