route_long_name,route_short_name,service_id,total_trips,avg_trip_distance_km,avg_duration_min,duration_stddev_min,avg_speed_kmh
VICTORIA PARK,324,3,22,17.15945002436638,36.22727273,1.0414944761263274,28.44210814147725
VICTORIA PARK,324,4,13,17.172407782994785,36.38461538,1.3323467750529827,28.35502924491943
DON MILLS,325,1,17,18.966923656079043,45.43627451,11.488743048727176,25.197880494392084
DON MILLS,325,2,18,19.114350171785595,45.68611111,11.6795897341484,25.430166423864595
DON MILLS,325,3,16,20.341756403708132,48.74375,9.772919775456053,25.366367895383227
DON MILLS,325,4,18,19.114350171785595,45.96388889,11.648113885894379,25.22005474847522
DUFFERIN,329,1,26,15.637184480061897,44.75192308,17.231719117304362,20.777705813470718
DUFFERIN,329,2,25,15.64050788283348,45.01866667,18.051113428262532,20.92205483429031
DUFFERIN,329,3,51,15.412662742038568,47.15163399,13.324215941118455,19.587938698220277
DUFFERIN,329,4,25,15.64050788283348,44.53866667,17.9932084224391,21.164182508892658
FOREST HILL,33,1,97,3.3337196645893385,13.4871134,2.3023887007644945,15.124366344702365
FOREST HILL,33,2,79,3.352165903518849,12.16793249,1.2502567166819343,16.604473069277713
FOREST HILL,33,3,71,3.3484324746253624,11.72206573,1.3846825103690041,17.192088457608705
FOREST HILL,33,4,79,3.352165903518849,11.59831224,1.3727419636813325,17.400273792638234
EGLINTON WEST,332,1,23,10.939982385739036,22.81811594,17.509347340104156,19.462465479927634
EGLINTON WEST,332,2,23,10.920265003390934,22.69202899,17.529655252586178,19.524956991092317
EGLINTON WEST,332,3,22,11.136858862909405,22.88333333,17.90013261053525,19.5042363158229
EGLINTON WEST,332,4,23,10.920265003390934,22.69202899,17.529655252586174,19.524956991092314
EGLINTON EAST,334,1,34,15.971084971638287,31.93382353,23.651429258479457,30.062439365764615
EGLINTON EAST,334,2,34,15.971084971638287,31.93382353,23.651429258479457,30.062439365764615
EGLINTON EAST,334,3,42,18.627792480446043,37.08928571,23.88642654938825,30.168064883187135
EGLINTON EAST,334,4,33,16.105681480783403,32.02272727,24.001512234267246,30.250575971215195
JANE,335,1,20,17.31510497033596,43.65,1.4924811556599304,23.811280886899866
JANE,335,2,20,17.31510497033596,43.65,1.4924811556599304,23.811280886899866
JANE,335,3,20,17.31510497033596,43.65,1.4924811556599304,23.811280886899866
JANE,335,4,20,17.31510497033596,43.65,1.4924811556599304,23.811280886899866
FINCH WEST,336,1,46,12.861613260339135,34.71702899,23.157073785214003,20.956718818243957
FINCH WEST,336,2,29,13.985138340242978,36.96551724,24.99169897857906,21.382012061792118
FINCH WEST,336,3,29,13.985138340242978,36.96551724,24.99169897857906,21.382012061792118
FINCH WEST,336,4,29,13.985138344353643,36.96551724,24.991698978579063,21.3820120661964
ISLINGTON,337,1,19,19.029179149552395,41.88508772,4.550396469895893,27.297945136371464
ISLINGTON,337,2,15,19.184380257129668,42.2,4.66476151587624,27.323102298532255
ISLINGTON,337,3,25,19.1343001639843,42.04,7.4214823317178364,27.39389409392883
ISLINGTON,337,4,15,19.184380257129668,42.2,4.664761515876239,27.32310229853226
FINCH EAST,339,1,25,11.892592094242573,28.08,15.308582923024296,22.35684314001121
FINCH EAST,339,2,25,11.892592094242573,28.08,15.308582923024296,22.35684314001121
FINCH EAST,339,3,25,11.892592094242573,28.08,15.308582923024296,22.35684314001121
FINCH EAST,339,4,25,11.892592094242573,28.08,15.308582923024296,22.35684314001121
EGLINTON EAST,34,1,397,10.954769825492457,43.21410579,8.946074242455639,15.751602501884978
